ID,category,average_cost
696,Handmade Products,8.69
697,Handmade Products,16.49
698,Handmade Products,12.98
699,Handmade Products,10.88
700,Handmade Products,24.95
701,Handmade Products,11.49
702,Handmade Products,24.95
703,Handmade Products,9.99
704,Handmade Products,13.49
705,Handmade Products,13.77
706,Handmade Products,15.98
707,Handmade Products,12.95
708,Handmade Products,29.99
709,Handmade Products,21.99
710,Handmade Products,12.49
711,Handmade Products,12.95
712,Handmade Products,12.95
713,Handmade Products,10.99
714,Handmade Products,27.99
715,Handmade Products,0.0
716,Handmade Products,19.99
717,Handmade Products,10.98
718,Handmade Products,10.49
719,Handmade Products,17.95
720,Handmade Products,18.0
721,Handmade Products,25.0
722,Handmade Products,10.0
723,Handmade Products,36.5
724,Handmade Products,13.99
725,Handmade Products,22.49
726,Health & Household,16.59
727,Health & Household,13.79
728,Health & Household,72.5
729,Health & Household,20.64
730,Health & Household,27.48
731,Health & Household,18.48
732,Health & Household,225.9
733,Health & Household,19.49
734,Health & Household,46.86
735,Health & Household,24.59
736,Health & Household,40.78
737,Health & Household,48.95
738,Health & Household,16.22
739,Health & Household,27.99
740,Health & Household,14.49
741,Health & Household,21.99
742,Health & Household,40.94
743,Health & Household,112.49
744,Health & Household,53.46
745,Health & Household,25.85
746,Health & Household,22.99
747,Health & Household,21.24
748,Health & Household,41.53
749,Health & Household,25.2
750,Health & Household,118.4
751,Health & Household,7.99
752,Health & Household,17.0
753,Health & Household,56.99
754,Health & Household,49.98
755,Health & Household,23.54
756,Home & Kitchen,30.99
757,Home & Kitchen,43.99
758,Home & Kitchen,42.47
759,Home & Kitchen,35.75
760,Home & Kitchen,24.91
761,Home & Kitchen,22.12
762,Home & Kitchen,34.99
763,Home & Kitchen,30.63
764,Home & Kitchen,32.5
765,Home & Kitchen,36.12
766,Home & Kitchen,27.26
767,Home & Kitchen,24.49
768,Home & Kitchen,36.99
769,Home & Kitchen,13.99
770,Home & Kitchen,9.99
771,Home & Kitchen,7.99
772,Home & Kitchen,11.99
773,Home & Kitchen,41.97
774,Home & Kitchen,29.99
775,Home & Kitchen,97.98
776,Home & Kitchen,18.99
777,Home & Kitchen,5.97
778,Home & Kitchen,17.36
779,Home & Kitchen,17.99
780,Home & Kitchen,12.99
781,Home & Kitchen,24.99
782,Home & Kitchen,26.03
783,Home & Kitchen,17.49
784,Home & Kitchen,11.73
785,Home & Kitchen,44.99
786,Home & Kitchen,54.94
787,Home & Kitchen,14.41
788,Home & Kitchen,19.49
789,Home & Kitchen,18.59
790,Home & Kitchen,19.49
791,Home & Kitchen,77.98
792,Home & Kitchen,39.99
793,Home & Kitchen,60.37
794,Home & Kitchen,31.99
795,Home & Kitchen,101.97
796,Home & Kitchen,14.49
797,Home & Kitchen,28.99
798,Home & Kitchen,16.49
799,Home & Kitchen,17.5
800,Home & Kitchen,107.37
801,Home & Kitchen,61.98
802,Home & Kitchen,29.99
803,Home & Kitchen,34.99
804,Home & Kitchen,63.98
805,Home & Kitchen,11.49
806,Industrial & Scientific,17.98
807,Industrial & Scientific,41.53
808,Industrial & Scientific,9.89
809,Industrial & Scientific,44.95
810,Industrial & Scientific,34.73
811,Industrial & Scientific,19.99
812,Industrial & Scientific,12.51
813,Industrial & Scientific,38.99
814,Industrial & Scientific,35.56
815,Industrial & Scientific,25.0
816,Industrial & Scientific,34.19
817,Industrial & Scientific,17.5
818,Industrial & Scientific,20.99
819,Industrial & Scientific,23.97
820,Industrial & Scientific,35.17
821,Industrial & Scientific,72.49
822,Industrial & Scientific,12.97
823,Industrial & Scientific,34.98
824,Industrial & Scientific,39.16
825,Industrial & Scientific,44.66
826,Industrial & Scientific,18.84
827,Industrial & Scientific,73.28
828,Industrial & Scientific,5.98
829,Industrial & Scientific,39.13
830,Industrial & Scientific,9.46
831,Industrial & Scientific,54.5
832,Industrial & Scientific,19.07
833,Industrial & Scientific,5.36
834,Industrial & Scientific,20.99
835,Industrial & Scientific,12.9
836,Industrial & Scientific,10.29
837,Industrial & Scientific,10.17
838,Industrial & Scientific,32.13
839,Industrial & Scientific,9.47
840,Industrial & Scientific,13.49
841,Industrial & Scientific,27.24
842,Industrial & Scientific,10.99
843,Industrial & Scientific,15.54
844,Industrial & Scientific,10.81
845,Industrial & Scientific,11.49
846,Industrial & Scientific,16.49
847,Industrial & Scientific,13.87
848,Industrial & Scientific,107.49
849,Industrial & Scientific,17.48
850,Industrial & Scientific,12.46
851,Industrial & Scientific,23.99
852,Industrial & Scientific,10.49
853,Industrial & Scientific,12.77
854,Industrial & Scientific,15.49
855,Industrial & Scientific,24.99
856,Kindle Store,11.99
857,Kindle Store,5.99
858,Kindle Store,3.99
859,Kindle Store,4.99
860,Kindle Store,7.99
861,Kindle Store,4.99
862,Kindle Store,5.99
863,Kindle Store,9.99
864,Kindle Store,2.99
865,Kindle Store,4.99
866,Kindle Store,3.99
867,Kindle Store,5.99
868,Kindle Store,4.99
869,Kindle Store,9.41
870,Kindle Store,4.99
871,Kindle Store,5.99
872,Kindle Store,4.99
873,Kindle Store,5.99
874,Kindle Store,0.99
875,Kindle Store,9.99
876,Kindle Store,5.99
877,Kindle Store,6.99
878,Kindle Store,1.99
879,Kindle Store,4.99
880,Kindle Store,4.99
881,Kindle Store,4.99
882,Kindle Store,9.99
883,Kindle Store,14.99
884,Kindle Store,4.99
885,Kindle Store,3.99
886,Kitchen & Dining,24.91
887,Kitchen & Dining,32.5
888,Kitchen & Dining,27.26
889,Kitchen & Dining,36.99
890,Kitchen & Dining,9.99
891,Kitchen & Dining,17.36
892,Kitchen & Dining,24.99
893,Kitchen & Dining,17.49
894,Kitchen & Dining,18.59
895,Kitchen & Dining,14.49
896,Kitchen & Dining,16.49
897,Kitchen & Dining,29.99
898,Kitchen & Dining,19.93
899,Kitchen & Dining,24.53
900,Kitchen & Dining,19.47
901,Kitchen & Dining,8.99
902,Kitchen & Dining,17.55
903,Kitchen & Dining,23.94
904,Kitchen & Dining,155.0
905,Kitchen & Dining,30.13
906,Kitchen & Dining,7.01
907,Kitchen & Dining,18.49
908,Kitchen & Dining,14.49
909,Kitchen & Dining,47.69
910,Kitchen & Dining,67.43
911,Kitchen & Dining,19.91
912,Kitchen & Dining,38.41
913,Kitchen & Dining,13.46
914,Kitchen & Dining,14.99
915,Kitchen & Dining,28.99
916,Magazine Subscriptions,5.0
917,Magazine Subscriptions,5.0
